book_id,authors,publication_year,title,average_rating,ratings_count
1,Suzanne Collins,2008.0,The Hunger Games,4.34,4780653
2,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,4.44,4602479
3,Stephenie Meyer,2005.0,Twilight,3.57,3866839
4,Harper Lee,1960.0,To Kill a Mockingbird,4.25,3198671
5,F. Scott Fitzgerald,1925.0,The Great Gatsby,3.89,2683664
6,John Green,2012.0,The Fault in Our Stars,4.26,2346404
7,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,4.25,2071616
8,J.D. Salinger,1951.0,The Catcher in the Rye,3.79,2044241
9,Dan Brown,2000.0,Angels & Demons ,3.85,2001311
10,Jane Austen,1813.0,Pride and Prejudice,4.24,2035490
11,Khaled Hosseini,2003.0,The Kite Runner ,4.26,1813044
12,Veronica Roth,2011.0,Divergent,4.24,1903563
13,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,4.14,1956832
14,George Orwell,1945.0,Animal Farm: A Fairy Story,3.87,1881700
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,1972666
16,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,4.11,1808403
17,Suzanne Collins,2009.0,Catching Fire,4.3,1831039
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,4.53,1832823
19,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,4.34,1766803
20,Suzanne Collins,2010.0,Mockingjay,4.03,1719760
21,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,4.46,1735368
22,Alice Sebold,2002.0,The Lovely Bones,3.77,1605173
23,"J.K. Rowling, Mary GrandPré",1998.0,Harry Potter and the Chamber of Secrets,4.37,1779331
24,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,4.53,1753043
25,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,4.61,1746574
